Country,Cumulative number of cases,Local chains of transmission,date,Number of new cases since last WHO update,Date of last report,Number recovered,Date last probable case reported,Date for which cumulative number of cases is current,Number_of_deaths
Republic of Ireland,1,NA,2003-06-26,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-26,0,NA,3,14/May/2003,23/Jun/2003,0
Romania,1,NA,2003-06-26,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-26,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-26,0,NA,170,18/May/2003,25/Jun/2003,32
South Africa,1,NA,2003-06-26,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-26,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-26,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-26,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-26,0,NA,7,7/Jun/2003,25/Jun/2003,2
United Kingdom,4,NA,2003-06-26,0,NA,4,29/Apr/2003,25/Jun/2003,0
United States,74,NA,2003-06-26,0,NA,36,23/Jun/2003,25/Jun/2003,0
Viet Nam,63,NA,2003-06-26,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8456,NA,2003-06-26,1,NA,7371,NA,NA,809
Australia,5,NA,2003-06-27,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,3,NA,2003-06-27,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada^4,251,NA,2003-06-27,0,NA,191,25/Jun/2003,26/Jun/2003,37
China^5,5327,NA,2003-06-27,0,NA,4921,25/Jun/2003,27/Jun/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-06-27,0,NA,1422,11/Jun/2003,27/Jun/2003,297
China Macao Special Administrative Region,1,NA,2003-06-27,0,NA,1,21/May/2003,23/Jun/2003,0
China Taiwan,681,NA,2003-06-27,0,NA,492,19/Jun/2003,27/Jun/2003,84
Colombia,1,NA,2003-06-27,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-27,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-27,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-27,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-06-27,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-27,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,5,NA,2003-06-27,0,NA,5,29/Apr/2003,27/Jun/2003,0
Kuwait,1,NA,2003-06-27,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-27,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-06-27,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-27,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines^7,14,NA,2003-06-27,0,NA,12,15/May/2003,26/Jun/2003,2
Republic of Ireland,1,NA,2003-06-27,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-27,0,NA,3,14/May/2003,23/Jun/2003,0
Romania,1,NA,2003-06-27,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-27,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-27,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-06-27,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-27,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-27,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-27,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-27,0,NA,7,7/Jun/2003,26/Jun/2003,2
United Kingdom,4,NA,2003-06-27,0,NA,4,29/Apr/2003,26/Jun/2003,0
United States^8,74,NA,2003-06-27,0,NA,64,23/Jun/2003,26/Jun/2003,0
Viet Nam,63,NA,2003-06-27,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8450,NA,2003-06-27,0,NA,7401,NA,NA,810
Australia,5,NA,2003-06-30,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,3,NA,2003-06-30,0,NA,2,9/Jun/2003,9/Jun/2003,0
Canada^4,252,NA,2003-06-30,1,NA,192,27/Jun/2003,27/Jun/2003,37
China^5,5327,NA,2003-06-30,0,NA,4927,25/Jun/2003,29/Jun/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-06-30,0,NA,1429,11/Jun/2003,30/Jun/2003,298
China Macao Special Administrative Region,1,NA,2003-06-30,0,NA,1,21/May/2003,23/Jun/2003,0
China Taiwan,678,NA,2003-06-30,0,NA,495,19/Jun/2003,30/Jun/2003,84
Colombia,1,NA,2003-06-30,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-06-30,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-06-30,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-06-30,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-06-30,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-06-30,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,5,NA,2003-06-30,0,NA,5,29/Apr/2003,27/Jun/2003,0
Kuwait,1,NA,2003-06-30,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-06-30,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-06-30,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-06-30,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-06-30,0,NA,12,15/May/2003,30/Jun/2003,2
Republic of Ireland,1,NA,2003-06-30,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-06-30,0,NA,3,14/May/2003,23/Jun/2003,0
Romania,1,NA,2003-06-30,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-06-30,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-06-30,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-06-30,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-06-30,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-06-30,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-06-30,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-06-30,0,NA,7,7/Jun/2003,26/Jun/2003,2
United Kingdom,4,NA,2003-06-30,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,73,NA,2003-06-30,0,NA,63,23/Jun/2003,27/Jun/2003,0
Viet Nam,63,NA,2003-06-30,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8447,NA,2003-06-30,1,NA,7417,NA,NA,811
Australia,5,NA,2003-07-01,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-01,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,252,NA,2003-07-01,0,NA,192,27/Jun/2003,30/Jun/2003,38
China^5,5327,NA,2003-07-01,0,NA,4930,25/Jun/2003,1/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-01,0,NA,1429,11/Jun/2003,30/Jun/2003,298
China Macao Special Administrative Region,1,NA,2003-07-01,0,NA,1,21/May/2003,23/Jun/2003,0
China Taiwan,678,NA,2003-07-01,0,NA,498,19/Jun/2003,1/Jul/2003,84
Colombia,1,NA,2003-07-01,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-01,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-07-01,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-07-01,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-07-01,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-07-01,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,5,NA,2003-07-01,0,NA,5,29/Apr/2003,27/Jun/2003,0
Kuwait,1,NA,2003-07-01,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-07-01,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-07-01,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-07-01,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-07-01,0,NA,12,15/May/2003,1/Jul/2003,2
Republic of Ireland,1,NA,2003-07-01,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-07-01,0,NA,3,14/May/2003,23/Jun/2003,0
Romania,1,NA,2003-07-01,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-07-01,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-07-01,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-07-01,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-07-01,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-07-01,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-07-01,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-07-01,0,NA,7,7/Jun/2003,29/Jun/2003,2
United Kingdom,4,NA,2003-07-01,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,73,NA,2003-07-01,0,NA,63,23/Jun/2003,30/Jun/2003,0
Viet Nam,63,NA,2003-07-01,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8445,NA,2003-07-01,0,NA,7422,NA,NA,812
Australia,5,NA,2003-07-02,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-02,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,252,NA,2003-07-02,0,NA,192,27/Jun/2003,30/Jun/2003,38
China^5,5327,NA,2003-07-02,0,NA,4933,25/Jun/2003,2/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-02,0,NA,1429,11/Jun/2003,2/Jul/2003,298
China Macao Special Administrative Region,1,NA,2003-07-02,0,NA,1,21/May/2003,2/Jul/2003,0
China Taiwan,676,NA,2003-07-02,0,NA,498,19/Jun/2003,2/Jul/2003,84
Colombia,1,NA,2003-07-02,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-02,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-07-02,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-07-02,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-07-02,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-07-02,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,4,NA,2003-07-02,0,NA,4,29/Apr/2003,27/Jun/2003,0
Kuwait,1,NA,2003-07-02,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-07-02,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-07-02,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-07-02,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-07-02,0,NA,12,15/May/2003,1/Jul/2003,2
Republic of Ireland,1,NA,2003-07-02,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-07-02,0,NA,3,14/May/2003,2/Jul/2003,0
Romania,1,NA,2003-07-02,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-07-02,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-07-02,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-07-02,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-07-02,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-07-02,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-07-02,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-07-02,0,NA,7,7/Jun/2003,1/Jul/2003,2
United Kingdom,4,NA,2003-07-02,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,73,NA,2003-07-02,0,NA,63,23/Jun/2003,1/Jul/2003,0
Viet Nam,63,NA,2003-07-02,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8442,NA,2003-07-02,0,NA,7424,NA,NA,812
Australia,5,NA,2003-07-03,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-03,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,251,NA,2003-07-03,0,NA,193,27/Jun/2003,2/Jul/2003,38
China^5,5327,NA,2003-07-03,0,NA,4933,25/Jun/2003,3/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-03,0,NA,1429,11/Jun/2003,3/Jul/2003,298
China Macao Special Administrative Region,1,NA,2003-07-03,0,NA,1,21/May/2003,3/Jul/2003,0
China Taiwan,674,NA,2003-07-03,0,NA,498,19/Jun/2003,3/Jul/2003,84
Colombia,1,NA,2003-07-03,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-03,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-07-03,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-07-03,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-07-03,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-07-03,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,4,NA,2003-07-03,0,NA,4,29/Apr/2003,3/Jul/2003,0
Kuwait,1,NA,2003-07-03,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-07-03,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-07-03,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-07-03,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-07-03,0,NA,12,15/May/2003,1/Jul/2003,2
Republic of Ireland,1,NA,2003-07-03,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-07-03,0,NA,3,14/May/2003,2/Jul/2003,0
Romania,1,NA,2003-07-03,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-07-03,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-07-03,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-07-03,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-07-03,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-07-03,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-07-03,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-07-03,0,NA,7,7/Jun/2003,1/Jul/2003,2
United Kingdom,4,NA,2003-07-03,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,73,NA,2003-07-03,0,NA,65,23/Jun/2003,2/Jul/2003,0
Viet Nam,63,NA,2003-07-03,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8439,NA,2003-07-03,0,NA,7427,NA,NA,812
Australia,5,NA,2003-07-04,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-04,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,251,NA,2003-07-04,0,NA,193,27/Jun/2003,3/Jul/2003,38
China^5,5327,NA,2003-07-04,0,NA,4934,25/Jun/2003,4/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-04,0,NA,1430,11/Jun/2003,4/Jul/2003,298
China Macao Special Administrative Region,1,NA,2003-07-04,0,NA,1,21/May/2003,3/Jul/2003,0
China Taiwan,674,NA,2003-07-04,0,NA,500,19/Jun/2003,4/Jul/2003,84
Colombia,1,NA,2003-07-04,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-04,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-07-04,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-07-04,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-07-04,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-07-04,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,4,NA,2003-07-04,0,NA,4,29/Apr/2003,3/Jul/2003,0
Kuwait,1,NA,2003-07-04,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-07-04,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-07-04,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-07-04,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-07-04,0,NA,12,15/May/2003,1/Jul/2003,2
Republic of Ireland,1,NA,2003-07-04,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-07-04,0,NA,3,14/May/2003,2/Jul/2003,0
Romania,1,NA,2003-07-04,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-07-04,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-07-04,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-07-04,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-07-04,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-07-04,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-07-04,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-07-04,0,NA,7,7/Jun/2003,1/Jul/2003,2
United Kingdom,4,NA,2003-07-04,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,73,NA,2003-07-04,0,NA,65,23/Jun/2003,2/Jul/2003,0
Viet Nam,63,NA,2003-07-04,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8439,NA,2003-07-04,0,NA,7431,NA,NA,812
Australia,5,NA,2003-07-07,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-07,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,251,NA,2003-07-07,0,NA,193,27/Jun/2003,4/Jul/2003,38
China^5,5327,NA,2003-07-07,0,NA,4934,25/Jun/2003,4/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-07,0,NA,1430,11/Jun/2003,7/Jul/2003,298
China Macao Special Administrative Region,1,NA,2003-07-07,0,NA,1,21/May/2003,7/Jul/2003,0
China Taiwan,674,NA,2003-07-07,0,NA,500,19/Jun/2003,4/Jul/2003,84
Colombia,1,NA,2003-07-07,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-07,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-07-07,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-07-07,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-07-07,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-07-07,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,4,NA,2003-07-07,0,NA,4,29/Apr/2003,3/Jul/2003,0
Kuwait,1,NA,2003-07-07,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-07-07,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-07-07,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-07-07,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-07-07,0,NA,12,15/May/2003,1/Jul/2003,2
Republic of Ireland,1,NA,2003-07-07,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-07-07,0,NA,3,14/May/2003,2/Jul/2003,0
Romania,1,NA,2003-07-07,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-07-07,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-07-07,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-07-07,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-07-07,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-07-07,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-07-07,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-07-07,0,NA,7,7/Jun/2003,1/Jul/2003,2
United Kingdom,4,NA,2003-07-07,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,73,NA,2003-07-07,0,NA,65,23/Jun/2003,3/Jul/2003,0
Viet Nam,63,NA,2003-07-07,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8439,NA,2003-07-07,0,NA,7431,NA,NA,812
Australia,5,NA,2003-07-08,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-08,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,250,NA,2003-07-08,0,NA,194,27/Jun/2003,7/Jul/2003,38
China^5,5327,NA,2003-07-08,0,NA,4934,25/Jun/2003,4/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-08,0,NA,1430,11/Jun/2003,7/Jul/2003,298
China Macao Special Administrative Region,1,NA,2003-07-08,0,NA,1,21/May/2003,7/Jul/2003,0
China Taiwan,671,NA,2003-07-08,0,NA,502,19/Jun/2003,8/Jul/2003,84
Colombia,1,NA,2003-07-08,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-08,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-07-08,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-07-08,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-07-08,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-07-08,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,4,NA,2003-07-08,0,NA,4,29/Apr/2003,3/Jul/2003,0
Kuwait,1,NA,2003-07-08,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-07-08,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-07-08,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-07-08,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-07-08,0,NA,12,15/May/2003,1/Jul/2003,2
Republic of Ireland,1,NA,2003-07-08,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-07-08,0,NA,3,14/May/2003,2/Jul/2003,0
Romania,1,NA,2003-07-08,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-07-08,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-07-08,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-07-08,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-07-08,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-07-08,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-07-08,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-07-08,0,NA,7,7/Jun/2003,1/Jul/2003,2
United Kingdom,4,NA,2003-07-08,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,74,NA,2003-07-08,0,NA,64,23/Jun/2003,7/Jul/2003,0
Viet Nam,63,NA,2003-07-08,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8436,NA,2003-07-08,0,NA,7433,NA,NA,812
Australia,5,NA,2003-07-09,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-09,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,249,NA,2003-07-09,0,NA,193,27/Jun/2003,8/Jul/2003,38
China^5,5327,NA,2003-07-09,0,NA,4939,25/Jun/2003,9/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-09,0,NA,1431,11/Jun/2003,9/Jul/2003,298
China Macao Special Administrative Region,1,NA,2003-07-09,0,NA,1,21/May/2003,7/Jul/2003,0
China Taiwan,671,NA,2003-07-09,0,NA,504,19/Jun/2003,9/Jul/2003,84
Colombia,1,NA,2003-07-09,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-09,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-07-09,0,NA,6,9/May/2003,22/May/2003,0
Germany,10,NA,2003-07-09,0,NA,9,4/Jun/2003,23/Jun/2003,0
India,3,NA,2003-07-09,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-07-09,0,NA,2,23/Apr/2003,19/Jun/2003,0
Italy,4,NA,2003-07-09,0,NA,4,29/Apr/2003,8/Jul/2003,0
Kuwait,1,NA,2003-07-09,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-07-09,0,NA,3,20/May/2003,26/Jun/2003,2
Mongolia,9,NA,2003-07-09,0,NA,9,6/May/2003,2/Jun/2003,0
New Zealand,1,NA,2003-07-09,0,NA,1,30/Apr/2003,25/Jun/2003,0
Philippines,14,NA,2003-07-09,0,NA,12,15/May/2003,9/Jul/2003,2
Republic of Ireland,1,NA,2003-07-09,0,NA,1,21/Mar/2003,12/Jun/2003,0
Republic of Korea,3,NA,2003-07-09,0,NA,3,14/May/2003,2/Jul/2003,0
Romania,1,NA,2003-07-09,0,NA,1,27/Mar/2003,22/Apr/2003,0
Russian Federation,1,NA,2003-07-09,0,NA,0,31/May/2003,31/May/2003,0
Singapore,206,NA,2003-07-09,0,NA,171,18/May/2003,27/Jun/2003,32
South Africa,1,NA,2003-07-09,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-07-09,0,NA,1,2/Apr/2003,5/Jun/2003,0
Sweden,3,NA,2003-07-09,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-07-09,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,9,NA,2003-07-09,0,NA,7,7/Jun/2003,1/Jul/2003,2
United Kingdom,4,NA,2003-07-09,0,NA,4,29/Apr/2003,30/Jun/2003,0
United States^7,75,NA,2003-07-09,2,NA,67,23/Jun/2003,8/Jul/2003,0
Viet Nam,63,NA,2003-07-09,0,NA,58,14/Apr/2003,7/Jun/2003,5
Total,8436,NA,2003-07-09,2,NA,7443,NA,NA,812
Australia,5,NA,2003-07-10,0,NA,5,12/May/2003,27/Jun/2003,0
Brazil,1,NA,2003-07-10,0,NA,1,9/Jun/2003,1/Jul/2003,0
Canada^4,250,NA,2003-07-10,1,NA,194,9/Jul/2003,9/Jul/2003,38
China^5,5327,NA,2003-07-10,0,NA,4941,25/Jun/2003,10/Jul/2003,348
China Hong Kong Special Administrative Region^6,1755,NA,2003-07-10,0,NA,1431,11/Jun/2003,10/Jul/2003,298
China Macao Special Administrative Region,1,NA,2003-07-10,0,NA,1,21/May/2003,10/Jul/2003,0
China Taiwan,671,NA,2003-07-10,0,NA,506,19/Jun/2003,10/Jul/2003,84
Colombia,1,NA,2003-07-10,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-07-10,0,NA,1,7/May/2003,20/May/2003,0
